"iteration","overall_RT","alerting_RT","orienting_RT","congruency_RT","n"
1,0.986276695575963,0.286248153999488,0.188461912834864,0.562095977651824,226
2,0.985796967950912,0.258247663485645,0.322778557865283,0.445267359995864,226
3,0.981290595320054,0.326397446460023,0.16285989680617,0.508885750827734,226
4,0.983389756015017,0.359249955251323,0.195441862100167,0.525281868133581,226
5,0.985236180683626,0.364214756354041,0.156650175185825,0.461110132208142,226
6,0.981913756763341,0.353700478029036,0.188064183979222,0.398100404771578,226
7,0.98559882182415,0.281407142086677,0.280074123308924,0.453266263550893,226
8,0.988890482821509,0.223036410763524,0.123514324096971,0.448905695280484,226
9,0.98751010123962,0.388620395939754,0.232125948152986,0.493822629872151,226
10,0.986708039967641,0.345806671565375,0.156920256951999,0.625414726086287,226
